Feature Name,Description
COMPONENT_ARBITRARY,"샘플 오일 관련 부품 (Component 4종, 비식별화)"
ANONYMOUS_1,무명 Feautre 1. 수치형 데이터
YEAR,오일 샘플 및 진단 해 (Year)
SAMPLE_TRANSFER_DAY,오일 샘플링 후 진단 기관으로 이동한 기간 (Days)
ANONYMOUS_2,무명 Feautre 2. 수치형 데이터
AG,원소기호 AG - Silver 함유량
AL,원소기호 AL - Aluminium 함유량
B,원소기호 B - Boron 함유량
BA,원소기호 BA -  Barium 함유량
BE,원소기호 BE - Beryllium 함유량
CA,원소기호 CA - Calcium 함유량
CD,원소기호 CD - Cadmium 함유량
CO,원소기호 CO - Cobolt 함유량
CR,원소기호 CR - Chromium 함유량
CU,원소기호 CU - Copper 함유량
FH2O,Water 수치(By FT-IR)
FNOX,NOx 수치(By FT-IR)
FOPTIMETHGLY,비식별화
FOXID,Oxidation 수치(By FT-IR)
FSO4,SO4 수치(By FT-IR)
FTBN,염기성 첨가제물질 수치(By FT-IR)
FE,원소기호 FE - Iron 함유량
FUEL,연료 함유량
H2O,Water 함유량
K,원소기호 K - Potassium 함유량
LI,원소기호 LI - Lithium 함유량
MG,원소기호 MG - Magnesium 함유량
MN,원소기호 MN - Manganese 함유량
MO,원소기호 MO - Molybdenum 함유량
NA,원소기호 NA - Sodium 함유량
NI,원소기호 NI - Nickel 함유량
P,원소기호 P - Phosphorus 함유량
PB,원소기호 PB - Lead 함유량
PQINDEX,Particle Quantifier Index
S,원소기호 S - Sulphur 함유량
SB,원소기호 SB - Antimony 함유량
SI,원소기호 SI - Silicone 함유량
SN,원소기호 SN - Tin 함유량
SOOTPERCENTAGE,Soot 함유량(%)
TI,원소기호 TI - Titanium 함유량
U100,Particle Count (100㎛ 이상 크기 입자)
U75,Particle Count (75㎛ 이상 크기 입자)
U50,Particle Count (50㎛ 이상 크기 입자)
U25,Particle Count (25㎛ 이상 크기 입자)
U20,Particle Count (20㎛ 이상 크기 입자)
U14,Particle Count (14㎛ 이상 크기 입자)
U6,Particle Count (6㎛ 이상 크기 입자)
U4,Particle Count (4㎛ 이상 크기 입자)
V,원소기호 V - Vanadium 함유량
V100,Viscosity @ 100 degrees
V40,Viscosity @ 40 degrees
ZN,원소기호 ZN - Zinc 함유량
Y_LABEL,"오일 정상 여부 (0 : 정상, 1 : 이상)"
